signature,gene
Keratinocyte_IFN_response,STAT1
Keratinocyte_IFN_response,ISG15
Keratinocyte_IFN_response,IFIT1
Keratinocyte_IFN_response,IFIT2
Keratinocyte_IFN_response,IFI6
Keratinocyte_IFN_response,IRF1
Keratinocyte_IFN_response,CXCL9
Keratinocyte_IFN_response,CXCL10
Keratinocyte_IFN_response,CXCL11
Epithelial_stress_injury,KRT6A
Epithelial_stress_injury,KRT6B
Epithelial_stress_injury,KRT16
Epithelial_stress_injury,KRT17
Epithelial_stress_injury,S100A7
Epithelial_stress_injury,S100A8
Epithelial_stress_injury,S100A9
Epithelial_stress_injury,PI3
Epithelial_stress_injury,SERPINA3
Keratinocyte_antigen_presentation,HLA-DRA
Keratinocyte_antigen_presentation,HLA-DRB1
Keratinocyte_antigen_presentation,HLA-DPA1
Keratinocyte_antigen_presentation,HLA-DPB1
Keratinocyte_antigen_presentation,HLA-DQA1
Keratinocyte_antigen_presentation,HLA-DQB1
Keratinocyte_antigen_presentation,CD74
Keratinocyte_antigen_presentation,CIITA
